city,year,weekofyear,week_start_date,humidity_percent,avg_temp_c,max_temp_c,min_temp_c,precip_mm
sj,1990,18,1990-04-30,73.36571429,25.44285714,29.4,20,16
sj,1990,19,1990-05-07,77.36857143,26.71428571,31.7,22.2,8.6
sj,1990,20,1990-05-14,82.05285714,26.71428571,32.2,22.8,41.4
sj,1990,21,1990-05-21,80.33714286,27.47142857,33.3,23.3,4
sj,1990,22,1990-05-28,80.46,28.94285714,35,23.9,5.8
sj,1990,23,1990-06-04,79.89142857,28.11428571,34.4,23.9,39.1
sj,1990,24,1990-06-11,82,27.41428571,32.2,23.3,29.7
sj,1990,25,1990-06-18,83.37571429,28.37142857,33.9,22.8,21.1
sj,1990,26,1990-06-25,82.76857143,28.32857143,33.9,22.8,21.1
sj,1990,27,1990-07-02,81.28142857,28.32857143,33.9,24.4,1.1
sj,1990,28,1990-07-09,81.46714286,27.55714286,31.7,21.7,63.7
sj,1990,29,1990-07-16,82.14428571,28.12857143,32.8,23.9,12.2
sj,1990,30,1990-07-23,80.74285714,28.11428571,31.7,22.8,32.6
sj,1990,31,1990-07-30,80.58428571,28.24285714,34.4,22.8,37.6
sj,1990,32,1990-08-06,79.65,28.2,33.3,23.3,11.4
sj,1990,33,1990-08-13,84.17857143,28.04285714,32.8,22.8,44.7
sj,1990,34,1990-08-20,80.94714286,28.34285714,33.3,23.3,5.4
sj,1990,35,1990-08-27,83.34857143,28.65714286,32.2,24.4,13.7
sj,1990,36,1990-09-03,77.17285714,28.32857143,32.8,23.3,14.2
sj,1990,37,1990-09-10,81.55142857,28.68571429,33.9,24.4,25.9
sj,1990,38,1990-09-17,81.63714286,28.24285714,32.8,23.9,3.3
sj,1990,39,1990-09-24,77.04857143,28.34285714,32.8,24.4,15.8
sj,1990,40,1990-10-01,78.52,28.77142857,33.3,23.9,11.7
sj,1990,41,1990-10-08,84.11,28.62857143,33.3,24.4,57.7
sj,1990,42,1990-10-15,85.62142857,27.62857143,32.8,23.3,61.8
sj,1990,43,1990-10-22,85.50285714,26.77142857,32.2,21.7,91.5
sj,1990,44,1990-10-29,82.78714286,27.97142857,33.3,22.8,6.3
sj,1990,45,1990-11-05,81.71571429,28.47142857,33.3,23.9,6.6
sj,1990,46,1990-11-12,75.72857143,27.54285714,32.8,22.2,38.9
sj,1990,47,1990-11-19,78.15142857,26.8,31.7,22.2,9.6
sj,1990,48,1990-11-26,81.38571429,26.2,31.1,20.6,26.7
sj,1990,49,1990-12-03,79.90857143,25.98571429,29.4,22.2,69
sj,1990,50,1990-12-10,68.72285714,24.68571429,29.4,19.4,2.8
sj,1990,51,1990-12-17,80.08285714,25.71428571,30.6,21.1,19.8
sj,1990,52,1990-12-24,69.68142857,25.15714286,28.9,21.1,20.9
sj,1991,1,1991-01-01,72.93857143,24.38571429,29.4,18.9,5.3
sj,1991,2,1991-01-08,76.62857143,24.91428571,28.3,21.1,31.7
sj,1991,3,1991-01-15,78.5,25.24285714,29.4,21.1,16.5
sj,1991,4,1991-01-22,71.59714286,24.71428571,29.4,18.3,6.8
sj,1991,5,1991-01-29,71.78428571,24.82857143,30,18.9,5.9
sj,1991,6,1991-02-05,75.79428571,25.05714286,30,20.6,7.3
sj,1991,7,1991-02-12,78.89571429,25.14285714,32.2,18.9,5.6
sj,1991,8,1991-02-19,79.74,25.84285714,32.2,20,17.8
sj,1991,9,1991-02-26,77.97714286,25.25714286,30.6,20,30.7
sj,1991,10,1991-03-05,77.31571429,26.01428571,31.1,20.6,10.9
sj,1991,11,1991-03-12,78.13857143,25.92857143,31.7,20.6,3.6
sj,1991,12,1991-03-19,77.88285714,26.08571429,32.2,21.1,5.7
sj,1991,13,1991-03-26,80.00142857,26.05714286,32.2,22.2,26.9
sj,1991,14,1991-04-02,75.66285714,25.24285714,28.9,20.6,4.1
sj,1991,15,1991-04-09,79.62857143,25.3,28.9,21.1,18.8
sj,1991,16,1991-04-16,73.35142857,25.51428571,29.4,21.1,19.4
sj,1991,17,1991-04-23,78.44714286,26.52857143,32.8,21.7,3.5
sj,1991,18,1991-04-30,79.36,27.31428571,32.2,22.8,2.8
sj,1991,19,1991-05-07,79.54142857,26.92857143,31.7,22.8,40.2
sj,1991,20,1991-05-14,80.06714286,26.52857143,30.6,22.8,32.8
sj,1991,21,1991-05-21,81.30142857,27.38571429,31.7,22.8,3.6
sj,1991,22,1991-05-28,81.08857143,27.94285714,33.3,23.3,5.6
sj,1991,23,1991-06-04,76.07428571,28.07142857,33.3,23.3,20.6
sj,1991,24,1991-06-11,77.03571429,28.22857143,33.9,23.9,9.4
sj,1991,25,1991-06-18,81.42142857,28.92857143,33.9,25,3.3
sj,1991,26,1991-06-25,82.74571429,27.91428571,32.8,22.8,12.4
sj,1991,27,1991-07-02,81.69428571,28.37142857,32.8,23.9,24.7
sj,1991,28,1991-07-09,77.87714286,28.41428571,32.8,24.4,4.6
sj,1991,29,1991-07-16,78.24142857,28.8,33.9,23.9,12.2
sj,1991,30,1991-07-23,81.48285714,28,32.8,24.4,43.1
sj,1991,31,1991-07-30,81.89714286,28.57142857,33.3,25,18
sj,1991,32,1991-08-06,81.96,28.5,32.8,24.4,12.5
sj,1991,33,1991-08-13,79.19714286,29.42857143,33.3,25.6,3.3
sj,1991,34,1991-08-20,80.25571429,29.27142857,34.4,24.4,1.5
sj,1991,35,1991-08-27,81.59428571,28.15714286,32.2,23.9,10.7
sj,1991,36,1991-09-03,82.31,28.94285714,34.4,24.4,27.2
sj,1991,37,1991-09-10,78.62714286,28.97142857,33.9,23.3,61
sj,1991,38,1991-09-17,80.87714286,28.91428571,33.3,24.4,7.9
sj,1991,39,1991-09-24,81.42428571,28.14285714,32.8,24.4,31.8
sj,1991,40,1991-10-01,82.48571429,27.74285714,32.8,23.3,26.5
sj,1991,41,1991-10-08,80.51571429,27.65714286,31.7,22.8,8.3
sj,1991,42,1991-10-15,79.38285714,28.54285714,33.9,24.4,21.3
sj,1991,43,1991-10-22,76.77714286,27.82857143,32.8,23.3,3.5
sj,1991,44,1991-10-29,78.98714286,28.11428571,32.8,24.4,4.8
sj,1991,45,1991-11-05,81.05857143,27.18571429,32.2,22.8,41.4
sj,1991,46,1991-11-12,83.51428571,26.65714286,31.1,22.2,28.2
sj,1991,47,1991-11-19,75.54857143,26.31428571,30,22.2,9.4
sj,1991,48,1991-11-26,81.48571429,26.27142857,30,22.2,76.2
sj,1991,49,1991-12-03,80.27571429,26.72857143,30.6,23.3,19.6
sj,1991,50,1991-12-10,78.62142857,25.61428571,29.4,21.7,34.2
sj,1991,51,1991-12-17,72.86142857,25,28.9,20.6,6.1
sj,1991,52,1991-12-24,76.12714286,24.35714286,28.3,19.4,13.7
sj,1992,1,1992-01-01,,,,,
sj,1992,2,1992-01-08,81.3,25.65714286,30.6,20.6,58.2
sj,1992,3,1992-01-15,84.11714286,25.47142857,31.1,21.7,32.3
sj,1992,4,1992-01-22,78.29142857,24.85714286,30.6,20,1.3
sj,1992,5,1992-01-29,75.22,24.8,28.9,20,9.2
